interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2018-04-10T14:15:00-07:00,2018-04-10 21:15:00+00:00,2018-04-10T14:20:00-07:00,2018-04-10 21:20:00+00:00,27125
2018-04-10T14:20:00-07:00,2018-04-10 21:20:00+00:00,2018-04-10T14:25:00-07:00,2018-04-10 21:25:00+00:00,27203
2018-04-10T14:25:00-07:00,2018-04-10 21:25:00+00:00,2018-04-10T14:30:00-07:00,2018-04-10 21:30:00+00:00,27219
2018-04-10T14:30:00-07:00,2018-04-10 21:30:00+00:00,2018-04-10T14:35:00-07:00,2018-04-10 21:35:00+00:00,27243
2018-04-10T14:35:00-07:00,2018-04-10 21:35:00+00:00,2018-04-10T14:40:00-07:00,2018-04-10 21:40:00+00:00,27316
2018-04-10T14:40:00-07:00,2018-04-10 21:40:00+00:00,2018-04-10T14:45:00-07:00,2018-04-10 21:45:00+00:00,27361
2018-04-10T14:45:00-07:00,2018-04-10 21:45:00+00:00,2018-04-10T14:50:00-07:00,2018-04-10 21:50:00+00:00,27386
2018-04-10T14:50:00-07:00,2018-04-10 21:50:00+00:00,2018-04-10T14:55:00-07:00,2018-04-10 21:55:00+00:00,27449
2018-04-10T14:55:00-07:00,2018-04-10 21:55:00+00:00,2018-04-10T15:00:00-07:00,2018-04-10 22:00:00+00:00,27545
2018-04-10T15:00:00-07:00,2018-04-10 22:00:00+00:00,2018-04-10T15:05:00-07:00,2018-04-10 22:05:00+00:00,27606
2018-04-10T15:05:00-07:00,2018-04-10 22:05:00+00:00,2018-04-10T15:10:00-07:00,2018-04-10 22:10:00+00:00,27657
2018-04-10T15:10:00-07:00,2018-04-10 22:10:00+00:00,2018-04-10T15:15:00-07:00,2018-04-10 22:15:00+00:00,27692
2018-04-10T15:15:00-07:00,2018-04-10 22:15:00+00:00,2018-04-10T15:20:00-07:00,2018-04-10 22:20:00+00:00,27794
2018-04-10T15:20:00-07:00,2018-04-10 22:20:00+00:00,2018-04-10T15:25:00-07:00,2018-04-10 22:25:00+00:00,27867
